KEY,TeamID,Season,HOMEAvgRDiff,AWAYAvgRDiff,WinPctDiff
1082019,108,2019,0.0,0.0,-0.8961229946524065
1082021,108,2021,0.0,0.0,-0.8433734939759036
1082022,108,2022,0.0,0.0,-0.791478470340259
1082023,108,2023,0.0,0.0,-0.8658536585365854
1092019,109,2019,0.0,0.0,-0.834873949579832
1092021,109,2021,0.0,-1.0,-0.8900788338539343
1092022,109,2022,0.0,0.0,-0.8280638361939175
1092023,109,2023,0.0,0.0,-0.8068783068783069
1102019,110,2019,-2.0,-1.0,-0.8390804597701149
1102021,110,2021,-1.0,-1.0,-0.8446643717728055
1102022,110,2022,0.0,0.0,-0.7980189491817399
1102023,110,2023,0.0,1.0,-0.7926829268292683
1112019,111,2019,0.0,0.0,-0.8255813953488372
1112021,111,2021,0.0,0.0,-0.7527685492801772
1112022,111,2022,0.0,0.0,-0.8527551942186089
1112023,111,2023,0.0,0.0,-0.7965834051105369
1122019,112,2019,1.0,0.0,-0.8238916256157636
1122021,112,2021,0.0,0.0,-0.8300653594771241
1122022,112,2022,0.0,0.0,-0.8088066551921974
1122023,112,2023,0.0,0.0,-0.8160192713038241
1132019,113,2019,0.0,0.0,-0.7917335473515249
1132021,113,2021,0.0,0.0,-0.7851169383416017
1132022,113,2022,0.0,-1.0,-0.8313253012048192
1132023,113,2023,0.0,0.0,-0.868330464716007
1142019,114,2019,0.0,0.0,-0.8612670408981555
1142021,114,2021,0.0,0.0,-0.8113362541073383
1142022,114,2022,0.0,0.0,-0.7795577916059844
1142023,114,2023,0.0,0.0,-0.7248995983935743
1152019,115,2019,0.0,0.0,-0.8837209302325582
1152021,115,2021,0.0,-1.0,-0.9279977051061388
1152022,115,2022,0.0,-2.0,-0.8562822719449226
1152023,115,2023,-1.0,-1.0,-0.8282143932550436
1162019,116,2019,-2.0,-1.0,-0.7718129571577848
1162021,116,2021,0.0,0.0,-0.7547431103725245
1162022,116,2022,0.0,0.0,-0.8095238095238095
1162023,116,2023,0.0,0.0,-0.8949890470974808
1172019,117,2019,2.0,1.0,-0.7754706533776301
1172021,117,2021,1.0,1.0,-0.8166214995483287
1172022,117,2022,1.0,1.0,-0.7306534176452875
1172023,117,2023,0.0,1.0,-0.7053598313760916
1182019,118,2019,-1.0,0.0,-0.8353397538790798
1182021,118,2021,0.0,0.0,-0.8074912891986064
1182022,118,2022,0.0,-1.0,-0.8559814169570267
1182023,118,2023,0.0,-1.0,-0.8664413752571261
1192019,119,2019,1.0,1.0,-0.8698879551820728
1192021,119,2021,1.0,1.0,-0.8408611863896417
1192022,119,2022,1.0,2.0,-0.7305028605841614
1192023,119,2023,1.0,1.0,-0.7913279132791329
1202019,120,2019,0.0,0.0,-0.8460591133004927
1202021,120,2021,0.0,0.0,-0.7595238095238096
1202022,120,2022,-1.0,-1.0,-0.7142037302725969
1202023,120,2023,-1.0,0.0,-0.8209780297661233
1212019,121,2019,0.0,0.0,-0.883173734610123
1212021,121,2021,0.0,0.0,-0.8108445777111444
1212022,121,2022,1.0,0.0,-0.7414174972314507
1212023,121,2023,0.0,0.0,-0.7911255411255411
1332019,133,2019,1.0,0.0,-0.8558106169296987
1332021,133,2021,0.0,0.0,-0.7423968684131286
1332022,133,2022,-1.0,0.0,-0.7407407407407407
1332023,133,2023,-2.0,-2.0,-0.8395061728395061
1342019,134,2019,0.0,-1.0,-0.8226998904709748
1342021,134,2021,0.0,-2.0,-0.8317555938037866
1342022,134,2022,-1.0,-1.0,-0.7694541231126597
1342023,134,2023,0.0,0.0,-0.7926829268292683
1352019,135,2019,0.0,0.0,-0.846218487394958
1352021,135,2021,0.0,0.0,-0.818881626724764
1352022,135,2022,0.0,0.0,-0.7664859981933153
1352023,135,2023,0.0,0.0,-0.7037037037037037
1362019,136,2019,0.0,0.0,-0.9045911047345767
1362021,136,2021,0.0,0.0,-0.8306878306878307
1362022,136,2022,0.0,0.0,-0.7930983192027368
1362023,136,2023,0.0,0.0,-0.7654320987654321
1372019,137,2019,-1.0,0.0,-0.7896032831737346
1372021,137,2021,0.0,1.0,-0.8292428975159898
1372022,137,2022,0.0,0.0,-0.8407106293285156
1372023,137,2023,0.0,0.0,-0.8046737213403881
1382019,138,2019,1.0,0.0,-0.8390591966173361
1382021,138,2021,0.0,0.0,-0.7952961672473868
1382022,138,2022,1.0,0.0,-0.8558106169296987
1382023,138,2023,0.0,0.0,-0.8295403837572513
1392019,139,2019,0.0,0.0,-0.8175494917067951
1392021,139,2021,1.0,0.0,-0.7545919903643481
1392022,139,2022,0.0,0.0,-0.8148148148148148
1392023,139,2023,1.0,1.0,-0.7807526401903911
1402019,140,2019,0.0,0.0,-0.8267019167217449
1402021,140,2021,0.0,-1.0,-0.7919083742376916
1402022,140,2022,0.0,0.0,-0.8059964726631393
1402023,140,2023,1.0,0.0,-0.8024691358024691
1412019,141,2019,0.0,0.0,-0.8471760797342193
1412021,141,2021,1.0,1.0,-0.7297895902547065
1412022,141,2022,0.0,1.0,-0.7592592592592593
1412023,141,2023,0.0,0.0,-0.7309545317675399
1422019,142,2019,0.0,1.0,-0.8599053414469235
1422021,142,2021,0.0,0.0,-0.7285772302693923
1422022,142,2022,0.0,0.0,-0.8181016749926535
1422023,142,2023,0.0,0.0,-0.8038241493526046
1432019,143,2019,0.0,0.0,-0.8
1432021,143,2021,0.0,0.0,-0.8815126050420168
1432022,143,2022,0.0,0.0,-0.7206876285630326
1432023,143,2023,0.0,0.0,-0.72487597448618
1442019,144,2019,0.0,0.0,-0.824076607387141
1442021,144,2021,0.0,1.0,-0.7976190476190477
1442022,144,2022,1.0,0.0,-0.7407407407407407
1442023,144,2023,1.0,1.0,-0.7980189491817399
1452019,145,2019,0.0,0.0,-0.8050692448392998
1452021,145,2021,1.0,0.0,-0.8239398084815321
1452022,145,2022,-1.0,0.0,-0.7482065997130559
1452023,145,2023,-1.0,-1.0,-0.8692969870875179
1462019,146,2019,-1.0,-1.0,-0.7848334514528703
1462021,146,2021,0.0,-1.0,-0.7828021820269881
1462022,146,2022,0.0,0.0,-0.6928635953026197
1462023,146,2023,0.0,0.0,-0.7947712418300654
1472019,147,2019,1.0,0.0,-0.8858411703239288
1472021,147,2021,0.0,0.0,-0.7951478610393339
1472022,147,2022,1.0,1.0,-0.8226801233529577
1472023,147,2023,0.0,0.0,-0.738722331185206
1582019,158,2019,0.0,0.0,-0.9177740863787376
1582021,158,2021,0.0,1.0,-0.7342047930283224
1582022,158,2022,0.0,0.0,-0.8161698283649503
1582023,158,2023,0.0,0.0,-0.7407407407407407
4432,108,All Seasons,0.0,0.0,-0.8492071543762886
4436,109,All Seasons,0.0,-0.25,-0.8399737316264977
4440,110,All Seasons,-0.75,-0.25,-0.8186116768884821
4444,111,All Seasons,0.0,0.0,-0.80692213598954
4448,112,All Seasons,0.25,0.0,-0.8196957278972273
4452,113,All Seasons,0.0,-0.25,-0.8191265629034882
4456,114,All Seasons,0.0,0.0,-0.7942651712512632
4460,115,All Seasons,-0.25,-1.0,-0.8740538251346658
4464,116,All Seasons,-0.5,-0.25,-0.8077672310378999
4468,117,All Seasons,1.0,1.0,-0.7570263504868345
4472,118,All Seasons,-0.25,-0.5,-0.8413134588229596
4476,119,All Seasons,1.0,1.25,-0.8081449788587522
4480,120,All Seasons,-0.5,-0.25,-0.7851911707157557
4484,121,All Seasons,0.25,0.0,-0.8066403376695648
4532,133,All Seasons,-0.5,-0.5,-0.7946135997307686
4536,134,All Seasons,-0.25,-1.0,-0.8041481335541725
4540,135,All Seasons,0.0,0.0,-0.7838224540041853
4544,136,All Seasons,0.0,0.0,-0.823452338347644
4548,137,All Seasons,-0.25,0.25,-0.816057632839657
4552,138,All Seasons,0.5,0.0,-0.8299265911379183
4556,139,All Seasons,0.5,0.25,-0.7919272342690873
4560,140,All Seasons,0.25,-0.25,-0.8067689748562612
4564,141,All Seasons,0.25,0.5,-0.7667948652539311
4568,142,All Seasons,0.0,0.25,-0.8026020990153935
4572,143,All Seasons,0.0,0.0,-0.7817690520228074
4576,144,All Seasons,0.5,0.5,-0.7901138362321672
4580,145,All Seasons,-0.25,-0.25,-0.8116281600303514
4584,146,All Seasons,-0.25,-0.5,-0.7638176176531359
4588,147,All Seasons,0.5,0.25,-0.8105978714753567
4632,158,All Seasons,0.0,0.25,-0.8022223621281876
660570,1,2019,0.0,-0.03333333333333333,-0.8388308693423104
660630,1,2021,0.13333333333333333,-0.03333333333333333,-0.804794714847178
